id,type,text1,text2,text3,text4,notes
heavymg,WEAPON,"Um primo maior da onipresente categoria de armas de metralhadora de tiro rápido, o Heavy MG é eficaz contra alvos pequenos e médios.

Um carro-chefe das embarcações de patrulha em todo o Setor, este sistema de armas apresenta contra-ataque confiável mecanismo de disparo que se diz datar dos dias da Velha Terra. Os recursos de segurança incluem uma segurança de cozimento positiva para liberação de parafuso aberto e prevenção de aríete duplo. A arma é normalmente montada em uma base relativamente grande para ajudar a absorver o recuo durante rajadas de fogo prolongadas. Os calibres variam dentro de uma faixa moderada e a munição é facilmente fabricada por forjas padrão. 

Os projéteis mais pesados não se estilhaçam com o impacto como as munições mais leves e representam uma ameaça credível para os navios da classe fragata. Extremamente preciso, embora com disparo mais lento do que um canhão vulcano. Excelente em uma função de defesa de ponto.",,"",,
arbalest,WEAPON,"Um design de arma antiquado com alto dano por tiro para seu tamanho. Os projéteis cinéticos são especialmente eficazes contra os escudos inimigos.

Navegações de patrulha mais pesadas na época do Colapso eram em sua maioria equipadas com a plataforma de armas Arbalest Mk I; isso provavelmente explica por que o Arbalest é considerado um dos sistemas de armas de navios mais eliminados do Setor. O sistema de resfriamento primitivo e a falta de um autoejetor prejudicam a taxa de tiro e a confiabilidade. 

A única característica redentora é a onipresença de projetos para a rodada mais arbalest, que é eficaz para derrubar escudos inimigos. A eficácia dos projéteis é mal compreendida e suspeita-se que esteja nas propriedades eletromagnéticas não intencionais das capas dos projéteis.",,"",,
dualflak,WEAPON,"Uma montagem dupla atualizada e extremamente eficaz do Flak Cannon. Apelidada de ""The Widowmaker"" por sua capacidade de destruir caças que se aproximam.

Assim como o canhão antiaéreo padrão, esta arma devasta caças menores e alvos de mísseis, embora dispare dois projéteis equipados com fusível de proximidade. A dispersão moldada garante detonação dupla e um raio de destruição maior. Os caças raramente são lançados intencionalmente contra navios equipados com Dual Flak por razões óbvias. Excelente taxa de tiro e taxa de giro da torre.",,"",,
chaingun,WEAPON,"As Indústrias GA-X Mk. A chaingun II é excelente em combates de curta distância, onde a precisão é menos importante do que o dano geral e o volume de tiro.

A ferramenta favorita de um capitão 'corpo a corpo', a Assault Chaingun oferece cartuchos de carga altamente explosivos no alvo em um taxa assustadora. Possui sistemas de alimentação e ejeção motorizados e uma unidade avançada de nano-resfriamento embutida no cano. 

A única desvantagem é um perfil de torre mais pesado que, juntamente com a falta do projeto do governador que o acompanha, é normalmente montado em rotadores incompatíveis, dando origem a velocidades de rotação da torre inesperadamente baixas.",,"",,
heavymauler,WEAPON,"Um sistema de armas avançado projetado para perfurar blindagens a longo alcance. Tem uma baixa cadência de tiro sustentada, mas alto dano por explosão.

O mauler pesado é uma arma brutal projetada para atacar alvos de médio a longo alcance. Em sua essência, a arma é um canhão automático com sistema de nano-resfriamento e uma porta de ejeção externa. No entanto, ao contrário dos canhões automáticos normais, o mauler pesado se distingue por um carregador de antimatéria alimentado por quantidades triviais de combustível padrão de nave estelar.

Ao sair da câmara de disparo, cada ogiva do projétil é carregada com um campo de antiprótons que pairam 10 -20 nanômetros na parte frontal da concha, estabilizada por um revestimento de bárion. No impacto com um alvo, esta ""bainha"" antipróton perde integridade estrutural e a reação resultante causa ainda mais danos. Dado o fato de que os projéteis já fornecem uma força destrutiva impressionante ao alvo, a reação combinada torna o martelo pesado particularmente eficaz contra alvos blindados.",,"",,
heavyac,WEAPON,"Um canhão de cano triplo que dispara uma rajada de projéteis padronizados a médio alcance. É mais eficaz contra escudos inimigos.

Canhão automático de calibre médio e cano triplo, normalmente implantado com munição de calibre médio. Fusíveis de disparo eletricamente preparados garantem contagens de incêndio precisas. Uma ótima arma de apoio de fogo, normalmente é instalada em navios da classe destróier e cruzador. Uma bateria de canhões automáticos pesados com uma solução de disparo adequada pode representar uma séria ameaça aos navios capitais. 

No entanto, a necessidade adicional de massa para acomodar o complexo autoloader e os sistemas de resfriamento resulta em uma taxa de rotação muito baixa.",,"",,
hveldriver,WEAPON,"Uma arma especializada projetada para sobrecarregar e desativar sistemas inimigos à distância. A bala de duranio de alta velocidade também é eficaz contra escudos.

O driver de hipervelocidade usa um processo de 2 estágios para acelerar uma bala de duranio com um núcleo de ferro-cobalto magnetizado a uma velocidade muito alta. Uma carga química acelera primeiro a lesma, depois as bobinas magnéticas assumem o controle, acelerando ainda mais a lesma e estabilizando seu vôo. A bala está altamente carregada no momento em que atinge o alvo, gerando uma quantidade significativa de interferência eletromagnética na nave que impacta.",,"",,
heavyneedler,WEAPON,"Uma montagem dupla do Light Needler com uma base mais pesada, este sistema de armas avançado é capaz de sobrecarregar rapidamente os projetores de escudo.

O Heavy Needler é uma arma avançada que dispara pequenos tiros de flecha. Uma melhoria em relação ao Light Needler, possui melhores sistemas de alimentação e resfriamento, que permitem uma cadência de tiro ainda maior. Os projéteis são idênticos à versão light: flechas revestidas de tungstênio com munição sem caixa.",,"",,
gauss,WEAPON,"Uma arma de longo alcance projetada para sobrecarregar os escudos do alvo. A bala cinética pesada que ele dispara também é eficaz contra todas as armaduras, exceto a mais pesada.

Usa bobinas magnéticas para acelerar uma grande bala composta ultradensa a velocidades relativísticas. Geralmente avaliado na faixa de centenas de giga-amperes, raramente excedendo um tera-ampere. E ao contrário da maioria das armas balísticas, tem uma carga de fluxo muito elevada quando disparada. Torretas montadas com este sistema têm uma taxa de giro extremamente baixa. 

Arma muito eficaz cuja utilidade é limitada pelo baixo poder de reator dos navios que normalmente apresentam grandes montagens de armas balísticas.",,"",,
hephag,WEAPON,"Uma arma de médio alcance projetada para perfurar armaduras pesadas. O dano bruto também permite sobrecarregar os emissores de escudo mais fracos.

Uma plataforma de arma verdadeiramente devastadora, nomeada em homenagem a um antigo deus da Terra associado aos vulcões. Uma montagem de torre típica possui dois canos L/89 que compensam o disparo de projéteis destruidores de armadura em alta cadência de tiro. Um ejetor eletromagnético, sistema de alimentação motorizado e nanorrefrigerantes permitem que a arma dispare por longos períodos de tempo. Os projéteis de carga moldados têm baixa velocidade inicial e grande poder de penetração na armadura.",,"",,
mark9,WEAPON,"Um imponente canhão automático de médio alcance, mais eficaz contra escudos. Também destrói cascos não blindados com um grande volume de projéteis de grande calibre.

É sabido que os navios de guerra da época inicial do Domínio careciam dos níveis contemporâneos de proteção de armadura. Uma arma com um nome como Canhão Automático Mark IX foi provavelmente um refinamento das primeiras escolas de engenharia de armas do Domínio. Dois barris combinados com um sistema exclusivo de carregador duplo formam o núcleo do sistema de armas.

Os projetos do Mark IX foram redescobertos pela primeira vez no Setor a partir de um objeto abandonado à deriva capturado no poço gravitacional da Estrela de Penélope. Após um exame apressado por um avaliador não qualificado, o projeto foi declarado obsoleto. O projeto foi leiloado para uma pequena organização mercenária conhecida como Free Star Combine, uma subsidiária militante do Ko Combine, e esquecido. 

Ciclos depois, o Free Star Combine finalmente construiu um protótipo e começou os testes de armas. A arma foi considerada muito grande, difícil de montar em todas as naves, exceto nas maiores, medíocre, na melhor das hipóteses, em comparação com alvos blindados, e seu alcance era tudo menos extraordinário. No entanto, o Mark IX recusou-se teimosamente a ser explicado pelos teóricos, já que o seu dano bruto é impressionante. Esses pessimistas foram silenciados ainda mais quando testes secundários mostraram o quão devastador o Mark IX é para proteger geradores.

Os resultados desses testes não permaneceram secretos por muito tempo, e a disponibilidade dos projetos agora comuns significou que o O Mark IX foi fabricado rapidamente para atender a demanda do Setor.",,"",,
mjolnir,WEAPON,"Um canhão de médio alcance que causa dano superior ao longo do tempo e também possui uma carga útil EMP significativa.

Um design muito avançado, o Mjolnir é tecnicamente um projetor de projétil magnetogravítico, não um canhão padrão. Os microcapacitores dentro de cada invólucro são capazes de fornecer energia suficiente para criar uma singularidade localizada em pequena escala. A lente gravitacional incorporada devasta toda a matéria próxima e cria o temido efeito de pulso eletromagnético (EMP), desativando as armas e sistemas do alvo.",,"",,
multineedler,WEAPON,"Dispara multidões de projéteis cinéticos em um arco fechado, criando uma chuva fulminante de projéteis que facilmente sobrecarrega a maioria dos projetores de escudo.

O Storm Needler é uma arma de flecha, que dispara munição de pequeno calibre sem caixa. Tendo atingido os limites práticos dos sistemas de resfriamento de tamanho médio, os projetistas de armas sem caixa abriram caminho para a categoria de armas grandes com os avançados nano-recicladores de refrigerante do Storm Needler, espingardas magnetizadas por cano e operação automatizada. Um carregador automático inteligente desembala e carrega a quantidade certa de munição dos carregadores, permitindo uma operação prolongada desde que tenha capacidade de fluxo adequada.",,"",,
hellbore,WEAPON,"Um enorme canhão que dispara projéteis lentos carregados de plasma. Os projéteis são altamente eficazes contra a armadura e destroem qualquer estrutura do casco deixada por baixo.

Uma plataforma de arma temida, raramente implantada devido à complexidade envolvida na fabricação de um cano construído que pode disparar com segurança enormes projéteis de carga com formato altamente explosivo . Quando tal projétil atinge um alvo, o efeito Neumann faz com que a ogiva impulsione um jato de metal fundido na armadura do alvo, vaporizando uma pequena área, causando brechas no casco, despressurização e extensos danos internos causados pelo estilhaço.",,"",,
reaper,WEAPON,"Um único torpedo não guiado de rendimento devastador com um poderoso motor a bordo.

A arma de ataque por excelência, um único torpedo Reaper é um grande sistema de lançamento não guiado, blindado e autopropelido para uma ogiva nuclear enriquecida catalisada por AM . A ciência por trás do detonador surpreendentemente compacto é pouco compreendida no Setor, embora amplamente especulado que seja baseado na física classificada como secreta pela autoridade do Domínio. O que se sabe é que três ou quatro destes que passam pelos arcos da PD são suficientes para destruir até mesmo a maior nave capital.",,"",,
atropos,WEAPON,"Um conjunto de torpedos guiados avançados. A carga útil é menor do que o normal para abrir espaço para o pacote de orientação avançada e a massa de reação do sistema de manobra.

O torpedo Atropos é um grande torpedo guiado com alcance estendido. Cada rack monta dois torpedos que podem ser disparados separadamente, permitindo aos capitães de ataque máxima flexibilidade. A ogiva nuclear catalisada por AM, normalmente usada em ogivas de torpedo, está faltando aqui, pois a interferência bariônica do detonador prejudicaria os sistemas de orientação. Ela é substituída por uma carga química menor, mas ainda potente.",,"",,
atropos_single,WEAPON,"Um único torpedo avançado e guiado. A carga útil é menor do que o normal para abrir espaço para o pacote de orientação avançada e a massa de reação do sistema de manobra.

O torpedo Atropos é um grande torpedo guiado com alcance estendido. A ogiva nuclear catalisada por AM, normalmente usada em ogivas de torpedo, está faltando aqui, pois a interferência bariônica do detonador prejudicaria os sistemas de orientação. Ela é substituída por uma carga química menor, mas ainda potente.

Esta montaria possui apenas um único torpedo.",,"",,
swarmer,WEAPON,"Um lançador de mísseis guiados de curto alcance. Os mísseis são projetados para interceptar alvos ágeis e são principalmente eficazes contra pequenas embarcações, como fragatas e caças.

Lança rajadas de pequenos mísseis. Um sistema infravermelho simples fornece rastreamento eficaz, enquanto micropropulsores químicos proporcionam manobrabilidade excepcional. Algoritmos de mira evolutivos aprimorados ao longo de séculos de aplicação no mundo real permitem que os mísseis liderem o alvo - eles raramente erram e são muito difíceis de evitar.",,"",,
swarmer_fighter,WEAPON,Um lançador de mísseis guiados de curto alcance. Os mísseis são projetados para interceptar e destruir caças inimigos.,,"",,
annihilator,WEAPON,"Dispara uma série de foguetes não guiados que cobrem um amplo arco. Normalmente usado para remover a armadura do inimigo quando os escudos são abaixados.

Foguetes de médio a longo alcance lançados de um pequeno casulo que dispara cinco mísseis por salva em uma extensão estreita para aumentar as chances de acertar. Os foguetes são pequenos e não guiados, sendo o espaço extra ocupado por uma ogiva maior e sistemas de propulsão melhorados, bem como uma blindagem mais espessa. 

Desempenha bem contra alvos maiores devido à maior chance de acertar com vários foguetes. Um ataque de foguete é frequentemente usado como proteção antes de um ataque de torpedo para reduzir a eficácia dos sistemas de defesa pontual. Leva vários segundos para recarregar após uma salva.",,"",,
annihilator_fighter,WEAPON,Dispara uma salva de foguetes não guiados. Normalmente usado para remover a armadura do inimigo quando os escudos são abaixados.,,"",,
annihilatorpod,WEAPON,"Dispara uma série de foguetes não guiados. Útil para lidar com a armadura inimiga ou - devido a não ter custo de fluxo - aplicar pressão sustentada.

Apresenta os mesmos foguetes de médio a longo alcance encontrados em lançadores menores. Os foguetes não são guiados, sendo o espaço extra ocupado por uma ogiva maior e sistemas de propulsão melhorados, bem como uma blindagem mais espessa. 

Desempenha bem contra alvos maiores devido à maior chance de acertar com vários foguetes. Um ataque de foguete é frequentemente usado como proteção antes de um ataque de torpedo para reduzir a eficácia dos sistemas de defesa pontual.",,"",,
heatseeker,WEAPON,"Atinge os motores do alvo e os desativa com uma poderosa explosão de EMP. Um sistema de carregamento automático classificado para combate garante utilidade em combates prolongados.

O míssil Salamander é uma arma especializada com duas considerações de design. O primeiro é um mecanismo de rastreamento/alvo extremamente avançado que permite atingir os motores inimigos, evitando ao mesmo tempo todos os outros pontos de impacto potenciais e ameaças de defesa de ponto. 

O segundo é um projeto especial de ogiva que, em vez de tentar destruir o alvo com força cinética ou explosiva, gera campos eletromagnéticos direcionados de alta magnitude. Quando tal campo é criado na proximidade de motores e componentes do casco não blindados, ele irá rapidamente destruir todos os seus componentes eletrônicos, tornando-os inúteis até serem reparados.",,"",,
salamanderpod,WEAPON,"Atinge os motores do alvo e os desativa com uma poderosa explosão de EMP. Um sistema de carregamento automático classificado para combate garante utilidade em combates prolongados.

Um pod montado externamente substitui os racks de mísseis mais comuns e permite que dois mísseis sejam disparados quase simultaneamente. Um carregador automático extrai, arma e prepara a próxima salva de dois mísseis após uma breve espera.

O míssil Salamander é uma arma especializada com duas considerações de design. O primeiro é um mecanismo de rastreamento/alvo extremamente avançado que permite atingir os motores inimigos, evitando ao mesmo tempo todos os outros pontos de impacto potenciais e ameaças de defesa de ponto. 

O segundo é um projeto especial de ogiva que, em vez de tentar destruir o alvo com força cinética ou explosiva, gera campos eletromagnéticos direcionados de alta magnitude. Quando tal campo é criado na proximidade de motores e componentes do casco não blindados, ele irá rapidamente destruir todos os seus componentes eletrônicos, tornando-os inúteis até serem reparados.",,"",,
harpoon,WEAPON,"Rack de mísseis guiados de médio alcance e alta carga útil. Devastador contra navios com escudos derrubados.

Mísseis de médio alcance com três suportes. Um excelente sistema de propulsão entrega uma grande ogiva ao alvo em velocidades abaixo da luz. Sacrificando a capacidade de manobra em prol da velocidade e do tamanho da ogiva, o míssil de médio alcance é uma das armas sem ataque de maior rendimento empregadas no Setor. Um golpe é quase fatal para navios do tamanho de uma fragata.

Este sistema de armas possui uma cremalheira de disparo que abriga vários mísseis.",,"",,
harpoonpod,WEAPON,"Pod de mísseis guiados de médio alcance e alta carga útil. Devastador contra navios com escudos caídos.

Um pod montado externamente substitui os suportes de mísseis mais comuns e permite que vários mísseis sejam disparados quase simultaneamente. Um carregador automático extrai, arma e prepara a próxima salva de mísseis após uma breve espera.

Esses mísseis de médio alcance são idênticos aos disparados de racks simples ou triplos e são uma ótima maneira de acabar com um navio com escudos derrubados. Um excelente sistema de propulsão entrega uma grande ogiva ao alvo em velocidades abaixo da luz. Sacrificando a capacidade de manobra em prol da velocidade e do tamanho da ogiva, o míssil de médio alcance é uma das armas sem ataque de maior rendimento empregadas no setor. Um golpe é quase fatal para navios do tamanho de uma fragata.
",,"",,
harpoon_single,WEAPON,"Míssil guiado de médio alcance e alta carga útil. Devastador contra navios com escudos caídos.

Um excelente sistema de propulsão entrega uma grande ogiva ao alvo em velocidades abaixo da luz. Sacrificando a capacidade de manobra em prol da velocidade e do tamanho da ogiva, o míssil de médio alcance é uma das armas sem ataque de maior rendimento empregadas no setor. Um golpe é quase fatal para navios do tamanho de uma fragata.

Esta montagem só pode lançar um míssil por vez e carrega um único substituto em um carregador de combate embutido no casco.",,"",,
sabot,WEAPON,"Dispara uma propagação de 2º estágio de penetradores cinéticos de alta velocidade quando dentro do alcance. Danos pesados aos escudos e danos massivos de EMP ao impactar o casco ou armadura inimiga. Difícil de parar com PD.

Mísseis da classe Sabot são armas KE de curto alcance e dois estágios. O primeiro estágio de um míssil guiado projeta um conjunto secundário dentro da distância de ataque de um alvo protegido. O computador de mira de bordo então acende o propelente para um penetrador KE. Este 'sabot', como é comumente chamado, é tipicamente um projétil estreito e estabilizado lateralmente, fabricado a partir de um material ultradenso, como o urânio empobrecido.

Excelente para derrubar escudos inimigos e causar sobrecarga. A blindagem padrão da nave é espaçada e, portanto, o sabot causa danos mais gerenciáveis se os escudos forem abaixados a tempo de receber o impacto na blindagem.

Este sistema de armas possui uma cremalheira de disparo que abriga vários mísseis.",,"",,
sabotpod,WEAPON,"Dispara uma propagação de 2º estágio de penetradores cinéticos de alta velocidade quando dentro do alcance. Danos pesados aos escudos e danos massivos de EMP ao impactar o casco ou armadura inimiga. Difícil de parar com PD.

O pod substitui os racks de mísseis mais comuns e permite que vários mísseis sejam disparados quase simultaneamente. Um autoloader extrai, arma e prepara a próxima salva de mísseis após um pequeno atraso.

Mísseis da classe Sabot são armas KE de curto alcance e dois estágios. O primeiro estágio de um míssil guiado projeta um conjunto secundário dentro da distância de ataque de um alvo protegido. O computador de mira de bordo então acende o propelente para um penetrador KE. Este 'sabot', como é comumente chamado, é normalmente um projétil estreito e estabilizado lateralmente, fabricado a partir de um material ultradenso, como o urânio empobrecido.

Excelente para derrubar escudos inimigos e causar sobrecarga. A blindagem padrão da nave é espaçada e, portanto, o sabot causa danos mais gerenciáveis se os escudos forem abaixados a tempo de receber o impacto na blindagem.

Este sistema de armas possui uma cremalheira de disparo que abriga vários mísseis.",,"",,
sabot_single,WEAPON,"Dispara uma propagação de 2º estágio de penetradores cinéticos de alta velocidade quando dentro do alcance. Danos pesados aos escudos e danos massivos de EMP ao impactar o casco ou armadura inimiga. Difícil de parar com PD.

Mísseis da classe Sabot são armas KE de curto alcance e dois estágios. O primeiro estágio de um míssil guiado projeta um conjunto secundário dentro da distância de ataque de um alvo protegido. O computador de mira de bordo então acende o propelente para um penetrador KE. Este 'sabot', como é comumente chamado, é normalmente um projétil estreito e estabilizado lateralmente, fabricado a partir de um material ultradenso, como o urânio empobrecido.

Excelente para derrubar escudos inimigos e causar sobrecarga. A blindagem padrão da nave é espaçada e, portanto, o sabot causa danos mais gerenciáveis se os escudos forem abaixados a tempo de receber o impacto na blindagem.

Esta montaria só pode lançar um míssil por vez e carrega um único substituto em um revista com classificação de combate embutida no casco.",,"",,
sabot_fighter,WEAPON,"Dispara uma propagação de 2º estágio de penetradores cinéticos de alta velocidade quando dentro do alcance. Danos pesados aos escudos e danos massivos de EMP ao impactar o casco ou armadura inimiga. Difícil de parar com PD.

Mísseis da classe Sabot são armas KE de curto alcance e dois estágios. O primeiro estágio de um míssil guiado projeta um conjunto secundário dentro da distância de ataque de um alvo protegido. O computador de mira de bordo então acende o propelente para um penetrador KE. Este 'sabot', como é comumente chamado, é tipicamente um projétil estreito e estabilizado lateralmente, fabricado a partir de um material ultradenso, como o urânio empobrecido.

Excelente para derrubar escudos inimigos e causar sobrecarga. A blindagem padrão da nave é espaçada e, portanto, o sabot causa danos mais gerenciáveis se os escudos forem abaixados a tempo de receber o impacto na blindagem.

Esta montaria carrega apenas um único míssil.",,"",,
breach,WEAPON,"Um míssil fortemente blindado e rápido, com boa orientação e uma pequena ogiva antiblindagem especializada.",,"",,
breachpod,WEAPON,"Um míssil fortemente blindado e rápido, com boa orientação e uma pequena ogiva antiblindagem especializada.",,"",,
