id,trigger,conditions,script,text,options,notes
gateUseOpt,PopulateGateOptions,"$global.gatesActive
$global.playerCanUseGates
$gateScanned",,,10:gateUse:Viajando pelo Portão,
gateScanOpt,PopulateGateOptions,"!$gateScanned
$global.canScanGates",,,0:gateScan:Escanear o Portão,
gateLeaveOpt,PopulateGateOptions,,,,100:defaultLeave:Sair,
,,,,,,
# Gate scan count during gaATG,,,,,,
,,,,,,
gaATGgateScanSummaryLuddic,GAATGGateScanSummary,$GAATGluddicPostScan score:1000,"Call $global.gaATG_ref luddicGateFleetMoveBack
unset $GAATGluddicPostScan",,gaATG_gateScanSummaryLuddic2:Continuar,"# this step is to add a ""Continue"" to break up the huge block of text."
gaATGgateScanSummaryLuddic2,DialogOptionSelected,$option == gaATG_gateScanSummaryLuddic2,FireBest GAATGGateScanSummary,"Você pessoalmente se despede do grupo de fiéis lúdicos que mantiveram vigília em sua nau capitânia. A frota deles está voltando; sua devoção coletiva ininterrupta. ""Bênçãos de Ludd sobre você, capitão"", diz o líder. ""Falarei bem de você ao Profeta Retornado."" Você sabe que deve acenar em aceitação sem levantar quaisquer questões teológicas e dar um aceno educado quando a nave sai da baía.",,
gaATGgateScanEndCheck1,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned >= 6","$global.gaATG_scannedSixGates = true
Call $global.gaATG_ref updateStage
FireAll PopulateGateOptions",,,
gaATGgateScanEndCheck2,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned < 6",FireAll PopulateGateOptions,,,
,,,,,,
,,,,,,
# Gate dev testing options,,,,,,
devGateCanScanOn,PopulateGateOptions,"$global.isDevMode
!$global.canScanGates",SetOptionColor devGateScanOn gray,,"200:devGateScanOn:>> (dev) Ative ""permitir que o jogador escaneie os portões""",
devGateCanScanOff,PopulateGateOptions,"$global.isDevMode
$global.canScanGates",SetOptionColor devGateScanOff gray,,"200:devGateScanOff:>> (dev) DESLIGUE ""permitir que o jogador escaneie os portões""",
devGatesActiveOn,PopulateGateOptions,"$global.isDevMode
!$global.gatesActive",SetOptionColor devGateActiveOn gray,,"201:devGateActiveOn:>> (dev) Ativar ""portões ativos""",
devGatesActiveOff,PopulateGateOptions,"$global.isDevMode
$global.gatesActive",SetOptionColor devGateActiveOff gray,,"201:devGateActiveOff:>> (dev) DESLIGUE ""portões ativos""",
devGatesPlayerCanUseOn,PopulateGateOptions,"$global.isDevMode
!$global.playerCanUseGates",SetOptionColor devGateCanUseOn gray,,"202:devGateCanUseOn:>> (dev) Ative ""o jogador pode usar portões""",
devGatesPlayerCanUseOff,PopulateGateOptions,"$global.isDevMode
$global.playerCanUseGates",SetOptionColor devGateCanUseOff gray,,"202:devGateCanUseOff:>> (dev) DESLIGUE ""o jogador pode usar portões""",
devGatesExplode,PopulateGateOptions,"$global.isDevMode
!$gateExploded",SetOptionColor devGateExplode gray,,210:devGateExplode:>> (dev) Explodir o portão,
devGateCanScanOnSel,DialogOptionSelected,$option == devGateScanOn,"$global.canScanGates = true
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGateCanScanOffSel,DialogOptionSelected,$option == devGateScanOff,"$global.canScanGates = false
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGatesActiveOnSel,DialogOptionSelected,$option == devGateActiveOn,"$global.gatesActive = true
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesActiveOffSel,DialogOptionSelected,$option == devGateActiveOff,"$global.gatesActive = false
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOnSel,DialogOptionSelected,$option == devGateCanUseOn,"$global.playerCanUseGates = true
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOffSel,DialogOptionSelected,$option == devGateCanUseOff,"$global.playerCanUseGates = false
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesExplodeSel,DialogOptionSelected,$option == devGateExplode,"GateCMD explode
$gateExploded = true 0
FireAll PopulateGateOptions",Uma onda de energia explode do Portal.,,
,,,,,,
,,,,,,
# stellar mirror and shade interactions,,,,,,
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarMirrorLeave ""ESCAPE""",,stellarMirrorLeave:Sair,
stellarMirrorLeave,DialogOptionSelected,$option == stellarMirrorLeave,DismissDialog,,,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarShadeLeave ""ESCAPE""",,stellarShadeLeave:Sair,
stellarShadeLeave,DialogOptionSelected,$option == stellarShadeLeave,DismissDialog,,,
,,,,,,
# Abyssal Lights,,,,,,
abyssalLightBegin,OpenInteractionDialog,$customType == abyssal_light score:1000,"ShowDefaultVisual
FireAll AbyssalLightOptions
$player.sawAbyssalLight = true","Uma luz fria preenche a tela, contrastando com a escuridão total do abismo do hiperespaço. Parece pulsar, ficando mais escuro e depois mais brilhante, sem seguir nenhum padrão discernível. Não pisca como uma chama, nem como um sinal de comunicação falhando, mas como... algo no limite da sua consciência. É... Você descobre que é capaz de antecipar o ritmo, mais visto do que ouvido, a luz dançante preenchendo sua visão... Uma tosse educada do seu oficial de sensores o traz de volta ao presente. ""$PlayerSirOrMadam?""",,
abyssalLightBeginAgain,OpenInteractionDialog,"$customType == abyssal_light score:1000
$player.sawAbyssalLight","ShowDefaultVisual
AddTextSmall ""    - Use an Active Sensor Burst to increase sensor range\n    - Use an Interdiction Pulse to increase burn level\n    - Lasts for a certain number of light-years traveled\n    - Larger increase when used near the Abyssal Light"" highlight
FireAll AbyssalLightOptions","A luz fria preenche a tela, contrastando com o abismo. O pulso sutil da luz implora por atenção, mas não promete conforto. Você balança a cabeça, concentrando sua atenção nos oficiais da ponte para dar sua próxima ordem.",,
abyssalLight_whatOpt,AbyssalLightOptions,!$player.gotFirstAbyssalLightInfodump,,,"abyssalLight_what:""Sensores, o que estamos vendo?""",
abyssalLight_opsOpt,AbyssalLightOptions,"!$player.askedOpsChiefAboutAbyssalLight
$player.gotFirstAbyssalLightInfodump",,,"abyssalLight_askOps:""Ops. Há algum problema?""",
AbyssalLightLeave,AbyssalLightOptions,,,,defaultLeave:Sair,
abyssalLight_whatSel,DialogOptionSelected,$option == abyssalLight_what,,"""É uma luz abissal, $playerSirOrMadam."" Seu oficial de sensores rapidamente percebe que esta afirmação é tão óbvia quanto pouco esclarecedora. ""E. Não sabemos exatamente o que... é. Existem dados fragmentários pré-colapso. Alguns acadêmicos especulam que pode ser um acúmulo espontâneo de energia escura, talvez, em torno de uma quase-estrutura temporária do hiperespaço, uma espécie de nó no dimensões superiores que alteram os efeitos físicos de... seja lá o que for."" Você pega seu chefe de operações fazendo o sinal de mão espaçador para 'todos os selos confirmados como seguros', uma espécie de proteção contra o mal.",abyssalLight_what2:Continuar,
abyssalLight_whatSel2,DialogOptionSelected,$option == abyssalLight_what2,"AddTextSmall ""    - Use an Active Sensor Burst to increase sensor range\n    - Use an Interdiction Pulse to increase burn level\n    - Lasts for a certain number of light-years traveled\n    - Larger increase when used near the Abyssal Light"" highlight
$player.gotFirstAbyssalLightInfodump = true
FireAll AbyssalLightOptions","""Eles não são conhecidos por serem perigosos"", continua seu oficial de sensores, tocando no console. ""O campo de transmissão deve nos manter seguros."" ""Parece ser altamente instável. Eles sempre são, e são difíceis de fazer uma varredura adequada. Acho que se tentássemos uma varredura ativa ou disparassemos um pulso de interdição, ele entraria em colapso; a descarga resultante poderia nos permitir mapear o hiperespaço local topografia.""",,
abyssalLightAskOps,DialogOptionSelected,$option == abyssalLight_askOps,$player.askedOpsChiefAboutAbyssalLight = true,"Seu chefe de operações, normalmente imperturbável, quase estremece. ""$PlayerSirOrMadam. Não, $playerSirOrMadam."" Você deixa o silêncio persistir, informando aos operadores que a negação não é resposta suficiente. ""Capitão."" Ops olha diretamente para você. ""Dizem que dá... azar interferir em coisas tão profundas no hiperespaço."" Ops fica mais ereto: ""Não tenho opinião técnica; levanto a questão apenas por uma questão de moral da tripulação. Mera superstição no cais, tenho certeza.""","abyssalLight_askOpsOutA:""Entendido, estarei atento. Obrigado, chefe."" 
abyssalLight_askOpsOutB:""Tal superstição não tem lugar na minha ponte, entendeu?""",
abyssalLightAskOpsOutA,DialogOptionSelected,$option == abyssalLight_askOpsOutA,"$player.ethosHumanitarian++
FireAll AbyssalLightOptions","""$PlayerSirOrMadam"", diz seu chefe de operações, depois volta para a tela principal, determinado a não fazer mais nada.",,
abyssalLightAskOpsOutB,DialogOptionSelected,$option == abyssalLight_askOpsOutB,"$player.ethosKnowledge++
FireAll AbyssalLightOptions","""Entendido, $playerSirOrMadam."" Seu chefe de operações volta para a tela principal, determinado a não fazer mais nada.",,
,,,,,,
# Rogue giant planet in abyssal space; turbulence in atmosphere,,,,,,
abyssalGasGiantTurbulence,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$abyssalGasGiantTurbulence score:100","ShowDefaultVisual
$visited = true","Seu $shipOrFleet se aproxima de $entityName. O enorme planeta gira languidamente abaixo do seu $shipOrFleet, profundamente mergulhado em seu próprio sono criogênico entre as estrelas distantes da galáxia. A compressão gravitacional e um mínimo de decaimento radioativo aquecem o interior bem acima do meio interestelar, alimentando sistemas climáticos ativos que lentamente se agitam na face fria do mundo. ""$PlayerSirOrMadam, I-"" seu oficial de sensores obtém a transmissão ao vivo de um subconjunto de sensores. Isso chama a atenção do Tático. Depois de um momento, até você pode ver: uma perturbação, uma onda de turbulência repentina, como uma dúzia de furacões gigantescos.","abyssalGasGiant_turb2:""Sensores, relatório.""",
abyssalGasGiantTurbulence2,DialogOptionSelected,$option == abyssalGasGiant_turb2,,"""Sistema de tempestade massiva. Anomalia repentina de calor, hum, relativamente falando. Algum tipo de ressurgência"", responde seu oficial de sensores, rapidamente. Você sabe que eles não gostam de não ter uma resposta clara. ""Ativando a gravimetria. Se houver algo escondido sob essas nuvens, isso vai mostrar."" Eles tocam em seu console, calibrando um novo subconjunto da rede de sensores $shipOrFleet. Os minutos passam à medida que os sistemas se ajustam ao planeta, e a precisão estimada das leituras aumenta constantemente no ecrã partilhado. A leitura fica mais nítida, esclarece e começa a mapear a densidade de massa de $entityName. Ao mesmo tempo, a anomalia desaparece, deixando células de tempestade do tamanho de luas girando na atmosfera.",abyssalGasGiant_turb3:Continuar,
abyssalGasGiantTurbulence3,DialogOptionSelected,$option == abyssalGasGiant_turb3,,"Os sensores parecem cada vez mais agitados, alternando rapidamente entre as interfaces dos sensores para comparar a telemetria. ""Capitão, não consigo determinar a causa. Uma enorme explosão de energia foi liberada na atmosfera, uma ressurgência como... as leituras de massa não mostram quaisquer estruturas ou objetos inesperados, naturais ou não."" Tactical franze a testa, sempre desconfiado, e diz: ""Isso acontece justamente quando $shipOrFleet chega? Não gosto disso.""","abyssalGasGiant_turb4:""Todas as estações prontas. Sensores, alerta de chamada se houver alguma alteração."" 
100:defaultLeave:""Eu também não gosto disso. Nav, tire-nos daqui.""",
abyssalGasGiantTurbulence4,DialogOptionSelected,$option == abyssalGasGiant_turb4,"FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","Suas ordens são reconhecidas e executadas; seu oficial de sensores mantém sua equipe em alerta máximo e todos os outros estão prontos. Abaixo, $entityName gira complacentemente, seu lado sombrio ocasionalmente iluminado por raios enquanto correntes atmosféricas titânicas lutam.",,
abyssalGasGiantTurbulenceRevisit,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$abyssalGasGiantTurbulence score:100
$visited","ShowDefaultVisual
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","Seu $shipOrFleet se aproxima de $entityName. Ao retornar, seu oficial de sensores está determinado a não ser pego de surpresa novamente. A rede de sensores é configurada para alta intensidade e o conjunto gravimétrico é carregado com os dados de calibração previamente coletados. Não há sinal de turbulência incomum; apenas o rastejar de faixas atmosféricas, tempestades de raios tremeluzindo onde suas bordas se encontram, como frotas em batalha em uma nebulosa distante.",,
,,,,,,
# Rogue planetoid in abyssal space; cleaned up mining OP,,,,,,
abyssalPlanetoidMiningOp,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$abyssalPlanetoidMiningOp score:100","ShowDefaultVisual
$visited = true","Seu $shipOrFleet se aproxima de $entityName. Uma varredura preliminar da superfície revela certas inconsistências nas densidades de massa esperadas para esta categoria de planetóide. Seu oficial de sensores ordena varreduras adicionais, com maior potência e resolução. Uma imagem da situação começa a surgir: grandes depósitos de elementos úteis foram extraídos e os locais de escavação, sejam depósitos superficiais ou veios profundos, foram cuidadosamente devolvidos a algo que se aproxima do seu estado natural. Os poços foram preenchidos, os rejeitos foram espalhados uniformemente e compactados nos campos de extração. A Sensors consulta seu chefe de operações, que trabalhou na mineração marginal no início de sua carreira. Operações parecem sombrias.","abyssalPlanetoid_miningOp2:""O que foi, chefe?""",
abyssalPlanetoidMiningOp2,DialogOptionSelected,$option == abyssalPlanetoid_miningOp2,"FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","""Não parece certo, $playerSirOrMadam"", diz Ops, virando uma cara envelhecida para você. ""Sim, poderia ter sido um mineiro independente ou catador. Poderia. Mas não há nada - sem obras temporárias, sem pilares, sem trilhas. Deveriam ser células de energia mortas e embalagens de ração espalhadas como estrelas no escuro. Não é nada."" Ops faz uma careta. ""Ninguém limpa assim, nem mesmo as mineradoras Tachy. Não há lucro nisso. Principalmente aqui.""",,
abyssalPlanetoidMiningOpRevisit,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$abyssalPlanetoidMiningOp score:100
$visited","ShowDefaultVisual
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","Seu $shipOrFleet se aproxima de $entityName. Os leves sinais de uma enorme operação de mineração permanecem e estão tão suspeitosamente nítidos quanto antes, tão arrumados quanto um penitente jardineiro luddico. Os registros do sensor não mostram alterações significativas desde a última varredura.",,
,,,,,,
"# Ghost ship around rogue abyssal stellar entity
""AI cores"" variation",,,,,,
GS_AI_CORES_open,OpenInteractionDialog,"$tag:salvageable
$gsType == GS_AI_CORES score:1000
!$explored","ShowDefaultVisual
PrintWreckDescription",Seu $shipOrFleet se aproxima de $aOrAn $nameInText.,"GS_AI_CORES_cont1:Explorar 
defaultLeave:Sair",
GS_AI_CORES_cont1Sel,DialogOptionSelected,$option == GS_AI_CORES_cont1,"$explored = true
UniqueEncounter setInteractedWith $gsType","casco externo é estranhamente imaculado, como se tivesse sido enviado em uma longa jornada recém-saído da forja, sem equipamento e customização personalizados. Seus salvadores invadem o exterior e descobrem uma história diferente: conduítes de energia e tubos de refrigeração grosseiramente ancorados foram instalados ao acaso nos poços e corredores da nave. As portas de segurança estão abertas e as escotilhas cortadas para fornecer acesso aos feixes de cabos serpentinos. Não é um trabalho de alta qualidade; os ocasionais drones de manutenção desligados, coisas automáticas estúpidas destinadas a ajudar os técnicos humanos, sugerem os culpados óbvios. Seus salvadores devem fazer vários cortes para liberar o acesso aos principais sistemas da nave. Não é perigoso, apenas inconveniente. É perto do verdadeiro ponto central do volume do casco que eles encontram um trio de núcleos de IA, dois gamas e um beta pela aparência dos invólucros. Eles estão sem energia, o líquido refrigerante congelou em seus canos.",GS_AI_CORES_cont2:Continuar,
GS_AI_CORES_cont2Sel,DialogOptionSelected,$option == GS_AI_CORES_cont2,$salvageLeaveText = Leave 0,"que parecia ser uma descoberta valiosa, embora juridicamente problemática, é um fracasso, no entanto: os núcleos de IA estão vazios, como se esferas perfeitas de nada surgissem onde antes residia a superinteligência cibernética. A memória do computador da nave propriamente dita não tem respostas; ele foi substituído desde o início e parece estar convencido de que ainda está no berço da forja.","salExplore:Avaliar o valor residual do navio 
defaultLeave:Leave",
,,,,,,
"Abyssal ghost ships, ""Tri-Tachyon"" variation",,,,,,
GS_TRI_TACHYON_open,OpenInteractionDialog,"$tag:salvageable
$gsType == GS_TRI_TACHYON score:1000
!$explored","ShowDefaultVisual
PrintWreckDescription",Seu $shipOrFleet se aproxima de $aOrAn $nameInText.,"GS_TRI_TACHYON_cont1:Explorar 
defaultLeave:Sair",
GS_TRI_TACHYON_cont1Sel,DialogOptionSelected,$option == GS_TRI_TACHYON_cont1,"$explored = true
UniqueEncounter setInteractedWith $gsType","Seus salvadores detectam um escudo de energia muito fraco ainda ativo, apesar da perda de energia principal. É estranhamente flutuante, como se estivesse sintonizado em uma frequência que não teria utilidade em combate. É uma questão simples interromper e romper o escudo com o kit civil padrão de sonda e escudo EM, e os salvadores fazem isso com facilidade.",GS_TRI_TACHYON_cont2:Continuar,
GS_TRI_TACHYON_cont2Sel,DialogOptionSelected,$option == GS_TRI_TACHYON_cont2,,"Uma busca revela que este é, ou melhor, era um navio com bandeira Tri-Tachyon. A tripulação está morta. O que sobrou do jovem executivo com autoridade sobre a operação ainda está em sua luxuosa cabine pessoal; tais incidentes envolvendo a descarga prematura de um cortador de plasma de nível de engenharia não são desconhecidos em docas de reparo mal gerenciadas, mas quando ocorrem na suíte executiva de um navio, questões pontuais são levantadas. O último sobrevivente, preparado contra a aparente falha do suporte de vida, é encontrado perto do gerador de energia montado por um júri que foi conectado à grade de escudo da nave. As seguranças do traje foram ignoradas e sua mistura atmosférica de oxigênio foi reduzida a zero. Teria sido um deslizamento indolor para a inconsciência e, em breve, para a morte.",GS_TRI_TACHYON_cont3:Continuar,
GS_TRI_TACHYON_cont3Sel,DialogOptionSelected,$option == GS_TRI_TACHYON_cont3,$salvageLeaveText = Leave 0,"""THEY FOLLOW"" foi raspado no deck com uma multiferramenta. A psicose com baixo teor de oxigênio não é inédita nessas condições catastróficas. O que exatamente esse escudo deveria manter fora - ou dentro - não está claro.","salExplore:Avaliar o valor residual do navio 
defaultLeave:Leave",
,,,,,,
"Abyssal ghost ships, ""Adventurers"" variation",,,,,,
GS_ADVENTURERS_open,OpenInteractionDialog,"$tag:salvageable
$gsType == GS_ADVENTURERS score:1000
!$explored","ShowDefaultVisual
PrintWreckDescription",Seu $shipOrFleet se aproxima de $aOrAn $nameInText.,"GS_ADVENTURERS_cont1:Explorar 
defaultLeave:Sair",
GS_ADVENTURERS_cont1Sel,DialogOptionSelected,$option == GS_ADVENTURERS_cont1,"$explored = true
UniqueEncounter setInteractedWith $gsType","Seus salvadores realizam uma violação ordenada sob a supervisão de seu chefe de operações, identificando e desativando diversas medidas defensivas personalizadas.",GS_ADVENTURERS_cont2:Continuar,
GS_ADVENTURERS_cont1SelBoom,DialogOptionSelected,"$option == GS_ADVENTURERS_cont1
RollProbability 0.5","$explored = true
UniqueEncounter setInteractedWith $gsType
RemoveCommodity crew 1
PlaySound hit_heavy","Um salvador é excessivamente precipitado e pula uma etapa nos protocolos medidos que construíram a reputação de seu chefe de operações, ganhando o trabalho de uma medida defensiva personalizada escondida no painel de acesso ao controle do compartimento de carga.",GS_ADVENTURERS_contBoom:Continuar,
GS_ADVENTURERS_contBoomSel,DialogOptionSelected,$option == GS_ADVENTURERS_contBoom,,"Seu chefe de operações rosna, intimidando os salvadores restantes para uma conformidade paranóica. Vários outros explosivos e sobrecargas do painel são desarmados antes que o acesso ao casco seja liberado.",GS_ADVENTURERS_cont2:Continuar,
